componente,varianza_explicada,varianza_acumulada
1,0.7908,0.7908
2,0.0769,0.8677
3,0.0427,0.9104
4,0.0352,0.9456
5,0.0157,0.9613
6,0.0084,0.9697
7,0.006,0.9757
8,0.0049,0.9807
9,0.0033,0.984
10,0.0028,0.9868
11,0.0021,0.9889
12,0.0015,0.9904
13,0.0015,0.9919
14,0.0013,0.9932
15,0.0012,0.9945
16,0.0011,0.9956
17,0.001,0.9967
18,0.0007,0.9973
19,0.0006,0.998
20,0.0006,0.9985
21,0.0005,0.999
22,0.0003,0.9994
23,0.0002,0.9995
24,0.0002,0.9997
25,0.0001,0.9998
26,0.0001,0.9999
27,0.0,1.0
28,0.0,1.0
29,0.0,1.0
30,0.0,1.0
31,0.0,1.0
32,0.0,1.0
